date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:53:17	494728/494728	---M--	200	added ('OK')	image/jpeg	etag:%2278c88-55057b022c9c0%22	http://ecd-sartrouville.fr/wp-content/uploads/2017/05/20170422_1416200.jpg	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/wp-content/uploads/2017/05/20170422_1416200.jpg	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
15:53:19	29956/29956	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2013:53:16%20GMT	http://ecd-sartrouville.fr/20170422_135031	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/20170422_135031.html	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
15:53:36	489210/489210	---M--	200	added ('OK')	image/jpeg	etag:%22776fa-55057b08d9980%22	http://ecd-sartrouville.fr/wp-content/uploads/2017/05/20170422_141620.jpg	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/wp-content/uploads/2017/05/20170422_141620.jpg	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
15:53:37	29859/29859	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2013:53:35%20GMT	http://ecd-sartrouville.fr/img_3453	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/img_3453.html	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
15:54:51	682644/682644	---M--	200	added ('OK')	image/jpeg	etag:%22a6a94-55057b4f6c000%22	http://ecd-sartrouville.fr/wp-content/uploads/2017/05/20170422_135043.jpg	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/wp-content/uploads/2017/05/20170422_135043.jpg	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
15:54:53	29851/29851	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2013:54:50%20GMT	http://ecd-sartrouville.fr/img_3457	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/img_3457.html	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
15:55:00	662588/662588	---M--	200	added ('OK')	image/jpeg	etag:%22a1c3c-55057b7962300%22	http://ecd-sartrouville.fr/wp-content/uploads/2017/05/20170422_135031.jpg	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/wp-content/uploads/2017/05/20170422_135031.jpg	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
15:55:00	628043/628043	---M--	200	added ('OK')	image/jpeg	etag:%229954b-5505788059f80%22	http://ecd-sartrouville.fr/wp-content/uploads/2017/05/IMG_3453.jpg	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/wp-content/uploads/2017/05/IMG_3453.jpg	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
15:55:01	29852/29852	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2013:54:59%20GMT	http://ecd-sartrouville.fr/img_3455	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/img_3455.html	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
15:55:04	56583/56583	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2013:55:00%20GMT	http://ecd-sartrouville.fr/dt_gallery/sport-rencontre-bikerun-au-1er-animathlon-de-sartrouville	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/dt_gallery/sport-rencontre-bikerun-au-1er-animathlon-de-sartrouville.html	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
